"","date","month","weekday","time","flow","holiday"
"475",2019-01-20,"01","Sonntag","18",611,0
"476",2019-01-20,"01","Sonntag","19",430,0
"477",2019-01-20,"01","Sonntag","20",334,0
"478",2019-01-20,"01","Sonntag","21",329,0
"479",2019-01-20,"01","Sonntag","22",224,0
"480",2019-01-20,"01","Sonntag","23",96,0
"481",2019-01-21,"01","Montag","00",44,0
"482",2019-01-21,"01","Montag","01",23,0
"483",2019-01-21,"01","Montag","02",15,0
"484",2019-01-21,"01","Montag","03",14,0
"485",2019-01-21,"01","Montag","04",40,0
"486",2019-01-21,"01","Montag","05",207,0
"487",2019-01-21,"01","Montag","06",909,0
"488",2019-01-21,"01","Montag","07",1253,0
"489",2019-01-21,"01","Montag","08",1312,0
"490",2019-01-21,"01","Montag","09",737,0
"491",2019-01-21,"01","Montag","10",693,0
"492",2019-01-21,"01","Montag","11",708,0
"493",2019-01-21,"01","Montag","12",698,0
"494",2019-01-21,"01","Montag","13",757,0
"495",2019-01-21,"01","Montag","14",746,0
"496",2019-01-21,"01","Montag","15",845,0
"497",2019-01-21,"01","Montag","16",1048,0
"498",2019-01-21,"01","Montag","17",1253,0
"499",2019-01-21,"01","Montag","18",1071,0
"500",2019-01-21,"01","Montag","19",624,0
"501",2019-01-21,"01","Montag","20",407,0
"502",2019-01-21,"01","Montag","21",331,0
"503",2019-01-21,"01","Montag","22",268,0
"504",2019-01-21,"01","Montag","23",201,0
"505",2019-01-22,"01","Dienstag","00",70,0
"506",2019-01-22,"01","Dienstag","01",31,0
"507",2019-01-22,"01","Dienstag","02",19,0
"508",2019-01-22,"01","Dienstag","03",19,0
"509",2019-01-22,"01","Dienstag","04",45,0
"510",2019-01-22,"01","Dienstag","05",213,0
"511",2019-01-22,"01","Dienstag","06",951,0
"512",2019-01-22,"01","Dienstag","07",1256,0
"513",2019-01-22,"01","Dienstag","08",1273,0
"514",2019-01-22,"01","Dienstag","09",820,0
"515",2019-01-22,"01","Dienstag","10",676,0
"516",2019-01-22,"01","Dienstag","11",734,0
"517",2019-01-22,"01","Dienstag","12",678,0
"518",2019-01-22,"01","Dienstag","13",802,0
"519",2019-01-22,"01","Dienstag","14",831,0
"520",2019-01-22,"01","Dienstag","15",859,0
"521",2019-01-22,"01","Dienstag","16",1082,0
"522",2019-01-22,"01","Dienstag","17",1262,0
"523",2019-01-22,"01","Dienstag","18",1137,0
"524",2019-01-22,"01","Dienstag","19",716,0
"525",2019-01-22,"01","Dienstag","20",433,0
"526",2019-01-22,"01","Dienstag","21",383,0
"527",2019-01-22,"01","Dienstag","22",334,0
"528",2019-01-22,"01","Dienstag","23",219,0
"529",2019-01-23,"01","Mittwoch","00",94,0
"530",2019-01-23,"01","Mittwoch","01",41,0
"531",2019-01-23,"01","Mittwoch","02",25,0
"532",2019-01-23,"01","Mittwoch","03",24,0
"533",2019-01-23,"01","Mittwoch","04",52,0
"534",2019-01-23,"01","Mittwoch","05",180,0
"535",2019-01-23,"01","Mittwoch","06",924,0
"536",2019-01-23,"01","Mittwoch","07",1288,0
"537",2019-01-23,"01","Mittwoch","08",1241,0
"538",2019-01-23,"01","Mittwoch","09",800,0
"539",2019-01-23,"01","Mittwoch","10",670,0
"540",2019-01-23,"01","Mittwoch","11",814,0
"541",2019-01-23,"01","Mittwoch","12",792,0
"542",2019-01-23,"01","Mittwoch","13",782,0
"543",2019-01-23,"01","Mittwoch","14",835,0
"544",2019-01-23,"01","Mittwoch","15",794,0
"545",2019-01-23,"01","Mittwoch","16",1086,0
"546",2019-01-23,"01","Mittwoch","17",1269,0
"547",2019-01-23,"01","Mittwoch","18",1154,0
"548",2019-01-23,"01","Mittwoch","19",662,0
"549",2019-01-23,"01","Mittwoch","20",471,0
"550",2019-01-23,"01","Mittwoch","21",364,0
